rule_id,rule_name,crop,state,soil_type,farmer_category,land_min,land_max,income_limit,aadhaar_required,recommended_scheme,recommended_loan,recommended_insurance,priority
RULE0284,Irrigation-Linked Scheme Match for Soybean on Clay Soil (Rule Variant 2),Soybean,Karnataka,Clay Soil,Large Farmer,5.22,10.23,100000,Yes,Telangana Micro Irrigation Project Subsidy,Micro Irrigation / Drip & Sprinkler Loan,Livestock Insurance Scheme,7.3
RULE0285,Small Holding Advisory Rule for Large Farmer Growing Grapes,Grapes,Maharashtra,Black Soil (Regur),Large Farmer,5.42,10.82,250000,Yes,Telangana Horticulture Mission,Horticulture & Plantation Loan,Restructured Weather Based Crop Insurance Scheme (RWBCIS),6.1
RULE0286,Risk Cover Advisory for Marginal Farmer on Red Soil (Rule Variant 3),Millets (Jowar/Bajra),Andhra Pradesh,Red Soil,Marginal Farmer,0.38,1.06,500000,Yes,Telangana Horticulture Mission,Fisheries & Aquaculture Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,5.1
RULE0287,Irrigation-Linked Scheme Match for Groundnut on Saline / Alkaline Soil,Groundnut,Andhra Pradesh,Saline / Alkaline Soil,Women Farmer,0.98,3.27,500000,No,Mission Kakatiya (Tank Restoration for Irrigation),Farm Mechanization / Tractor Loan,Horticulture Crop Insurance Scheme,5.3
RULE0288,Insurance Recommendation for Chilli under Alluvial Soil Conditions,Chilli,Telangana,Alluvial Soil,Sharecropper,0.76,2.42,200000,Yes,Micro Irrigation Fund (MIF),Farm Mechanization / Tractor Loan,Private Comprehensive Crop Insurance Plan,5.0
RULE0289,Government Scheme Trigger for Cotton Cultivation in All India,Cotton,All India,Alluvial Soil,Women Farmer,0.6,3.46,200000,Yes,National Livestock Mission,Agri Infrastructure & Cold Storage Loan,Restructured Weather Based Crop Insurance Scheme (RWBCIS),7.6
RULE0290,Loan Eligibility Check for FPO Member Farmer Cultivating Chilli,Chilli,Telangana,Clay Soil,FPO Member Farmer,0.03,10.45,500000,Yes,Micro Irrigation Fund (MIF),Agri Infrastructure & Cold Storage Loan,Restructured Weather Based Crop Insurance Scheme (RWBCIS),8.1
RULE0291,Insurance Recommendation for Wheat under Loamy Soil Conditions,Wheat,All India,Loamy Soil,Sharecropper,0.6,2.26,100000,Yes,PM Kusum Scheme (Solar Pump & Grid Connected Plants),Kisan Credit Card (KCC),Private Comprehensive Crop Insurance Plan,10.0
RULE0292,Irrigation-Linked Scheme Match for Millets (Jowar/Bajra) on Alluvial Soil,Millets (Jowar/Bajra),Andhra Pradesh,Alluvial Soil,Tenant Farmer,0.9,3.35,150000,No,National Food Security Mission (NFSM),Horticulture & Plantation Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,8.9
RULE0293,Loan Eligibility Check for Tenant Farmer Cultivating Soybean,Soybean,All India,Black Soil (Regur),Tenant Farmer,0.96,2.61,,Yes,National Mission on Natural Farming (NMNF),Dairy & Livestock Development Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,5.3
RULE0294,Risk Cover Advisory for Sharecropper on Laterite Soil (Rule Variant 2),Red Gram (Tur Dal),Telangana,Laterite Soil,Sharecropper,0.6,2.5,200000,Yes,Rashtriya Krishi Vikas Yojana (RKVY),Kisan Credit Card (KCC),Restructured Weather Based Crop Insurance Scheme (RWBCIS),9.7
RULE0295,Risk Cover Advisory for Women Farmer on Red Soil,Maize,Andhra Pradesh,Red Soil,Women Farmer,0.66,3.54,500000,Yes,National Livestock Mission,Dairy & Livestock Development Loan,Horticulture Crop Insurance Scheme,7.1
RULE0296,Irrigation-Linked Scheme Match for All Crops on Laterite Soil,All Crops,Telangana,Laterite Soil,Marginal Farmer,0.45,1.66,300000,No,Soil Health Card Scheme,Farm Mechanization / Tractor Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,6.9
RULE0297,Risk Cover Advisory for Women Farmer on Laterite Soil (Rule Variant 3),Chickpea (Gram),Andhra Pradesh,Laterite Soil,Women Farmer,0.78,3.0,,Yes,Mission Kakatiya (Tank Restoration for Irrigation),Warehouse Receipt / Post-Harvest Loan,Restructured Weather Based Crop Insurance Scheme (RWBCIS),8.8
RULE0298,Subsidy & Credit Pathway for Medium Farmer in Andhra Pradesh (Rule Variant 2),Millets (Jowar/Bajra),Andhra Pradesh,Loamy Soil,Medium Farmer,2.03,5.01,200000,Yes,Telangana Farm Mechanization Scheme,Fisheries & Aquaculture Loan,Livestock Insurance Scheme,5.6
RULE0299,Loan Eligibility Check for Large Farmer Cultivating Mango (Rule Variant 2),Mango,Karnataka,Laterite Soil,Large Farmer,5.3,10.81,,No,Rashtriya Krishi Vikas Yojana (RKVY),Warehouse Receipt / Post-Harvest Loan,Horticulture Crop Insurance Scheme,6.3
RULE0300,Insurance Recommendation for All Crops under Saline / Alkaline Soil Conditions,All Crops,Telangana,Saline / Alkaline Soil,Small Farmer,1.08,2.06,150000,No,Pradhan Mantri Matsya Sampada Yojana (PMMSY),Agri Infrastructure & Cold Storage Loan,Horticulture Crop Insurance Scheme,5.4
